pick_index,target,local_index,q1,q2,q3,q4,q5,q6
0,carton_front_l2_c0,0,-0.2266,-2.6381,0.8952,-0.3257,0.1211,0.3615
0,carton_front_l2_c0,1,-0.23694347924759399,-2.623736194128658,0.8630697364114719,-0.34289800152295763,0.10131293740944682,0.3220104301879116
0,carton_front_l2_c0,2,-0.24728695849518798,-2.609372388257316,0.8309394728229439,-0.3600960030459153,0.08152587481889362,0.28252086037582314
0,carton_front_l2_c0,3,-0.25763043774278194,-2.595008582385974,0.7988092092344158,-0.37729400456887296,0.06173881222834044,0.24303129056373474
0,carton_front_l2_c0,4,-0.2679739169903759,-2.580644776514632,0.7666789456458877,-0.39449200609183066,0.04195174963778725,0.2035417207516463
0,carton_front_l2_c0,5,-0.2783173962379699,-2.5662809706432905,0.7345486820573597,-0.4116900076147883,0.022164687047234066,0.1640521509395579
0,carton_front_l2_c0,6,-0.2886608754855639,-2.5519171647719485,0.7024184184688316,-0.42888800913774594,0.0023776244566808824,0.12456258112746948
0,carton_front_l2_c0,7,-0.2990043547331579,-2.5375533589006065,0.6702881548803035,-0.44608601066070364,-0.017409438133872315,0.08507301131538103
0,carton_front_l2_c0,8,-0.3093478339807519,-2.5231895530292645,0.6381578912917754,-0.4632840121836613,-0.0371965007244255,0.04558344150329263
0,carton_front_l2_c0,9,-0.3196913132283459,-2.5088257471579225,0.6060276277032474,-0.4804820137066189,-0.05698356331497868,0.0060938716912042334
0,carton_front_l2_c0,10,-0.33003479247593986,-2.4944619412865805,0.5738973641147194,-0.4976800152295766,-0.07677062590553187,-0.033395698120884165
0,carton_front_l2_c0,11,-0.34037827172353385,-2.4800981354152385,0.5417671005261913,-0.5148780167525342,-0.09655768849608505,-0.07288526793297262
0,carton_front_l2_c0,12,-0.35072175097112784,-2.4657343295438965,0.5096368369376632,-0.5320760182754919,-0.11634475108663823,-0.11237483774506102
0,carton_front_l2_c0,13,-0.36106523021872183,-2.4513705236725545,0.47750657334913504,-0.5492740197984496,-0.13613181367719146,-0.15186440755714953
