index,q1,q2,q3,q4,q5,q6,tool_x,tool_y,tool_z
0,0.0,-1.57,1.57,-1.57,-1.57,0.0,-0.05798424563735938,0.13352265294832094,0.9278206487774594
1,-0.004785959508337803,-1.5699115819388738,1.5774599505164477,-1.5949685951844135,-1.5649966163539988,0.034779780349395745,-0.05246114660945055,0.13254191619313033,0.9266400532372453
2,-0.009571919016675605,-1.5698231638777476,1.5849199010328954,-1.6199371903688269,-1.5599932327079975,0.06955956069879149,-0.04699068094465149,0.1315118200276891,0.9255509460514163
3,-0.014357878525013409,-1.569734745816621,1.592379851549343,-1.64490578555324,-1.5549898490619962,0.10433934104818722,-0.04157501847778748,0.13043309790412372,0.9245529114600706
4,-0.01914383803335121,-1.5696463277554948,1.5998398020657905,-1.6698743807376535,-1.549986465415995,0.13911912139758298,-0.03621630987225548,0.12930652015208882,0.9236454953677881
5,-0.023929797541689012,-1.5695579096943686,1.6072997525822381,-1.694842975922067,-1.5449830817699937,0.1738989017469787,-0.03091668537005337,0.12813289361277633,0.9228282055394269
6,-0.028715757050026817,-1.5694694916332423,1.6147597030986858,-1.7198115711064803,-1.5399796981239924,0.20867868209637444,-0.025678253551055373,0.1269130612453695,0.9221005118140176
7,-0.03350171655836462,-1.5693810735721159,1.6222196536151334,-1.7447801662908937,-1.534976314477991,0.24345846244577019,-0.020503100102363638,0.1256479017061505,0.921461846336677
8,-0.03828767606670242,-1.5692926555109896,1.629679604131581,-1.769748761475307,-1.5299729308319898,0.27823824279516596,-0.01539328659855186,0.12433832890049279,0.9209116038084586
9,-0.04307363557504023,-1.5692042374498634,1.6371395546480287,-1.7947173566597203,-1.5249695471859885,0.3130180231445617,-0.01035084929361928,0.12298529150798897,0.9204491417540323
10,-0.047859595083378025,-1.5691158193887371,1.6445995051644764,-1.8196859518441337,-1.5199661635399875,0.3477978034939574,-0.005377797925460996,0.12158977248098511,0.9200737808070991
11,-0.052645554591715826,-1.5690274013276106,1.6520594556809238,-1.8446545470285471,-1.5149627798939862,0.3825775838433531,-0.0004761145336535724,0.12015278851681269,0.9197848050134146
12,-0.057431514100053635,-1.5689389832664844,1.6595194061973715,-1.8696231422129603,-1.509959396247985,0.4173573641927489,0.004352247708645285,0.11867538950402862,0.9195814621513081
13,-0.06221747360839143,-1.5688505652053581,1.6669793567138191,-1.8945917373973737,-1.5049560126019836,0.4521371445421446,0.009105365647908023,0.11715865794299493,0.919462964069556
14,-0.06700343311672924,-1.568762147144232,1.6744393072302668,-1.9195603325817872,-1.4999526289559824,0.48691692489154037,0.013781347287772253,0.11560370834114703,0.919428487042475
15,-0.07178939262506703,-1.5686737290831054,1.6818992577467144,-1.9445289277662006,-1.494949245309981,0.521696705240936,0.018378332910143323,0.11401168658332066,0.9194771721420816
16,-0.07657535213340484,-1.5685853110219792,1.689359208263162,-1.969497522950614,-1.4899458616639798,0.5564764855903319,0.022894496179101134,0.11238376927752544,0.9196081256271638
17,-0.08136131164174265,-1.568496892960853,1.6968191587796095,-1.9944661181350272,-1.4849424780179785,0.5912562659397276,0.02732804522686885,0.11072116307657198,0.9198204193490923
18,-0.08614727115008046,-1.5684084748997267,1.7042791092960572,-2.019434713319441,-1.4799390943719772,0.6260360462891233,0.031677223721106776,0.10902510397597802,0.9201130911742031
19,-0.09093323065841825,-1.5683200568386004,1.7117390598125048,-2.044403308503854,-1.474935710725976,0.660815826638519,0.03594031191280954,0.10729685658859754,0.9204851454225664
20,-0.09571919016675605,-1.568231638777474,1.7191990103289525,-2.0693719036882676,-1.4699323270799747,0.6955956069879148,0.04011562766409418,0.10553771339643403,0.920935553322943
21,-0.10050514967509386,-1.5681432207163477,1.7266589608454002,-2.094340498872681,-1.4649289434339734,0.7303753873373106,0.04420152745517931,0.10374899398011718,0.9214632534837438
22,-0.10529110918343165,-1.5680548026552215,1.7341189113618478,-2.119309094057094,-1.4599255597879721,0.7651551676867062,0.04819640736987459,0.10193204422653918,0.9220671523797703
23,-0.11007706869176946,-1.5679663845940952,1.7415788618782955,-2.144277689241507,-1.4549221761419708,0.799934948036102,0.0520987040589005,0.1000882355151643,0.9227461248545276
24,-0.11486302820010727,-1.5678779665329687,1.7490388123947431,-2.169246284425921,-1.4499187924959696,0.8347147283854978,0.055906895680389396,0.09821896388354147,0.9234990146378852
25,-0.11964898770844508,-1.5677895484718425,1.7564987629111906,-2.1942148796103345,-1.4449154088499683,0.8694945087348935,0.05961950281691578,0.09632564917256556,0.9243246348788572
26,-0.12443494721678286,-1.5677011304107162,1.7639587134276382,-2.2191834747947476,-1.439912025203967,0.9042742890842892,0.06323508936843414,0.09440973415204998,0.9252217686932579
27,-0.12922090672512068,-1.56761271234959,1.7714186639440859,-2.244152069979161,-1.434908641557966,0.939054069433685,0.06675226342050869,0.09247268362718716,0.9261891697259897
28,-0.13400686623345848,-1.5675242942884635,1.7788786144605335,-2.2691206651635745,-1.4299052579119644,0.9738338497830807,0.07016967808723595,0.09051598352649044,0.9272255627277123
29,-0.1387928257417963,-1.5674358762273373,1.7863385649769812,-2.2940892603479877,-1.4249018742659634,1.0086136301324766,0.07348603232828255,0.08854113997182285,0.9283296441456262
30,-0.14357878525013407,-1.567347458166211,1.7937985154934288,-2.3190578555324013,-1.419898490619962,1.043393410481872,0.07670007173947344,0.08654967833113619,0.9295000827281075
31,-0.1483647447584719,-1.5672590401050848,1.8012584660098763,-2.3440264507168145,-1.4148951069739608,1.078173190831268,0.07981058931638235,0.08454314225455319,0.9307355201429164
32,-0.15315070426680968,-1.5671706220439585,1.808718416526324,-2.3689950459012277,-1.4098917233279595,1.1129529711806638,0.08281642619039525,0.08252309269444327,0.9320345716086975
33,-0.15793666377514748,-1.567082203982832,1.8161783670427716,-2.393963641085641,-1.4048883396819583,1.1477327515300593,0.08571647233673967,0.08049110691015196,0.933395826539487
34,-0.1627226232834853,-1.5669937859217058,1.8236383175592192,-2.4189322362700545,-1.399884956035957,1.1825125318794552,0.08850966725397921,0.07844877745805802,0.9348178492019235
35,-0.1675085827918231,-1.5669053678605795,1.831098268075667,-2.443900831454468,-1.3948815723899557,1.217292312228851,0.09119500061450606,0.07639771116764485,0.9362991793848667
36,-0.17229454230016092,-1.5668169497994533,1.8385582185921145,-2.4688694266388813,-1.3898781887439544,1.2520720925782467,0.09377151288557227,0.0743395281042819,0.9378383330811177
37,-0.17708050180849869,-1.5667285317383268,1.8460181691085622,-2.4938380218232945,-1.3848748050979531,1.2868518729276424,0.0962382959204261,0.07227586051942611,0.9394338031809162
38,-0.1818664613168365,-1.5666401136772006,1.8534781196250099,-2.518806617007708,-1.3798714214519519,1.321631653277038,0.09859449351913414,0.07020835178896034,0.9410840601769057
39,-0.1866524208251743,-1.5665516956160743,1.8609380701414575,-2.5437752121921213,-1.3748680378059506,1.356411433626434,0.10083930195869764,0.0681386553403994,0.9427875528802335
40,-0.1914383803335121,-1.566463277554948,1.868398020657905,-2.568743807376535,-1.3698646541599493,1.3911912139758296,0.10297197049208191,0.0660684335696999,0.9445427091474536
41,-0.19622433984184992,-1.5663748594938216,1.8758579711743526,-2.593712402560948,-1.364861270513948,1.4259709943252252,0.10499180181580835,0.06399935674842318,0.9463479366178983
42,-0.20101029935018772,-1.5662864414326954,1.8833179216908003,-2.6186809977453613,-1.3598578868679467,1.460750774674621,0.1068981525057707,0.061933101922004866,0.9482016234611709
43,-0.20579625885852554,-1.566198023371569,1.890777872207248,-2.643649592929775,-1.3548545032219454,1.495530555024017,0.1086904334209645,0.05987135179989595,0.9501021391344152
44,-0.2105822183668633,-1.5661096053104429,1.8982378227236953,-2.668618188114188,-1.3498511195759444,1.5303103353734124,0.11036811007483771,0.05781579363834591,0.9520478351490027
45,-0.21536817787520113,-1.5660211872493166,1.905697773240143,-2.693586783298602,-1.344847735929943,1.5650901157228083,0.1119307029739898,0.05576811811660507,0.9540370458462837
46,-0.22015413738353892,-1.5659327691881901,1.9131577237565907,-2.718555378483015,-1.3398443522839418,1.599869896072204,0.11337778792397368,0.053730018207329824,0.9560680891820399
47,-0.22494009689187675,-1.5658443511270639,1.9206176742730383,-2.743523973667428,-1.3348409686379403,1.6346496764215999,0.11470899630197046,0.05170318804198204,0.9581392675192648
48,-0.22972605640021454,-1.5657559330659376,1.928077624789486,-2.7684925688518414,-1.3298375849919393,1.6694294567709955,0.11592401529613576,0.04968932177201417,0.9602488684289013
49,-0.2345120159085523,-1.5656675150048114,1.9355375753059336,-2.793461164036255,-1.324834201345938,1.7042092371203912,0.11702258811143329,0.047690112426642714,0.9623951654981688
50,-0.23929797541689016,-1.565579096943685,1.9429975258223813,-2.8184297592206686,-1.3198308176999367,1.738989017469787,0.11800451414179486,0.045707250768009924,0.9645764191460824
51,-0.24408393492522795,-1.5654906788825587,1.950457476338829,-2.843398354405082,-1.3148274340539354,1.7737687978191827,0.11886964910847174,0.04374242414454314,0.9667908774457967
52,-0.24886989443356572,-1.5654022608214324,1.9579174268552764,-2.868366949589495,-1.3098240504079341,1.8085485781685784,0.11961790516446176,0.04179731534331874,0.9690367769533752
53,-0.25365585394190354,-1.5653138427603062,1.9653773773717242,-2.8933355447739086,-1.3048206667619329,1.8433283585179743,0.12024925096491966,0.03987360144224395,0.9713123435425963
54,-0.25844181345024136,-1.5652254246991797,1.9728373278881717,-2.918304139958322,-1.2998172831159316,1.87810813886737,0.12076371170348285,0.0379729526628688,0.9736157932454048
55,-0.2632277729585792,-1.5651370066380534,1.9802972784046193,-2.9432727351427355,-1.2948138994699303,1.9128879192167658,0.12116136911446486,0.036097031224642764,0.9759453330976035
56,-0.26801373246691695,-1.5650485885769272,1.987757228921067,-2.9682413303271487,-1.289810515823929,1.9476676995661615,0.12144236144089575,0.03424749020143121,0.9782991619893909
57,-0.2727996919752548,-1.564960170515801,1.9952171794375146,-2.993209925511562,-1.2848071321779277,1.9824474799155571,0.12160688336840642,0.03242597238110476,0.9806754715203396
58,-0.2775856514835926,-1.5648717524546745,2.002677129953962,-3.0181785206959755,-1.2798037485319265,2.0172272602649532,0.12165518592498253,0.03063410912901816,0.9830724468584036
59,-0.28237161099193037,-1.5647833343935482,2.0101370804704097,-3.0431471158803887,-1.2748003648859252,2.052007040614349,0.12158757634663186,0.02887351925618862,0.985488267602554
60,-0.28715757050026813,-1.564694916332422,2.0175970309868574,-3.0681157110648023,-1.269796981239924,2.086786820963744,0.12140441790903604,0.027145807892984923,0.9879211086486279
61,-0.291943530008606,-1.5646064982712957,2.025056981503305,-3.0930843062492155,-1.2647935975939226,2.1215666013131402,0.12110612972527418,0.02545256536913726,0.9903691410579786
62,-0.2967294895169438,-1.5645180802101695,2.0325169320197527,-3.1180529014336287,-1.2597902139479213,2.156346381662536,0.12069318650974242,0.023795366100870706,0.9928305329285122
63,-0.30151544902528155,-1.564429662149043,2.0399768825362004,-3.143021496618042,-1.2547868303019203,2.1911261620119316,0.12016611830839359,0.022175767485964185,0.9953034502676973
64,-0.30630140853361937,-1.5643412440879167,2.047436833052648,-3.1679900918024555,-1.2497834466559188,2.2259059423613277,0.11952551019547128,0.02059530880753418,0.9977860578671253
65,-0.3110873680419572,-1.5642528260267905,2.0548967835690957,-3.192958686986869,-1.2447800630099177,2.260685722710723,0.11877200193691176,0.01905551014733213,1.0002765201782104
66,-0.31587332755029496,-1.5641644079656642,2.0623567340855433,-3.2179272821712823,-1.2397766793639164,2.2954655030601185,0.117906287620623,0.01755787130934615,1.0027730021886037
67,-0.3206592870586328,-1.5640759899045378,2.069816684601991,-3.2428958773556955,-1.2347732957179152,2.3302452834095146,0.11692911525387023,0.01610387075448488,1.0052736702989018
68,-0.3254452465669706,-1.5639875718434115,2.077276635118438,-3.2678644725401087,-1.2297699120719139,2.3650250637589103,0.11584128632801552,0.014694964547120017,1.0077766931992374
69,-0.3302312060753084,-1.5638991537822853,2.084736585634886,-3.2928330677245228,-1.2247665284259126,2.3998048441083064,0.11464365535088544,0.013332585314254228,1.010280242745318
70,-0.3350171655836462,-1.563810735721159,2.0921965361513335,-3.317801662908936,-1.2197631447799113,2.434584624457702,0.11333712934706296,0.012018141218073495,1.012782494833503
71,-0.339803125091984,-1.5637223176600326,2.099656486667781,-3.342770258093349,-1.21475976113391,2.4693644048070973,0.1119226673264151,0.010753014942635726,1.0152816302744934
72,-0.34458908460032184,-1.5636338995989063,2.107116437184229,-3.3677388532777623,-1.2097563774879088,2.5041441851564934,0.11040127972119994,0.009538562695438632,1.0177758356652165
73,-0.3493750441086596,-1.56354548153778,2.1145763877006765,-3.3927074484621755,-1.2047529938419075,2.538923965505889,0.10877402779210824,0.008376113224599116,1.0202633042584794
74,-0.35416100361699737,-1.5634570634766538,2.122036338217124,-3.417676043646589,-1.1997496101959062,2.5737037458552847,0.10704202300362045,0.007266966852367876,1.0227422368299797
75,-0.35894696312533525,-1.5633686454155273,2.1294962887335718,-3.442644638831003,-1.194746226549905,2.608483526204681,0.1052064263690817,0.006212394525692542,1.0252108425422517
76,-0.363732922633673,-1.563280227354401,2.1369562392500194,-3.467613234015416,-1.1897428429039036,2.643263306554076,0.10326844776591475,0.005213636884530537,1.027667339805131
77,-0.3685188821420108,-1.5631918092932748,2.144416189766467,-3.492581829199829,-1.1847394592579024,2.6780430869034717,0.10122934522141387,0.004271903348602028,1.030109957132321
78,-0.3733048416503486,-1.5631033912321486,2.1518761402829147,-3.517550424384243,-1.179736075611901,2.712822867252868,0.09909042416958073,0.0033883712232624817,1.032536933993649
79,-0.37809080115868643,-1.5630149731710223,2.1593360907993624,-3.542519019568656,-1.1747326919658998,2.7476026476022635,0.09685303667948418,0.0025641848251593195,1.0349465216625993
80,-0.3828767606670242,-1.5629265551098959,2.16679604131581,-3.5674876147530696,-1.1697293083198987,2.782382427951659,0.09451858065564515,0.0018004546283266272,1.03733698405871
81,-0.387662720175362,-1.5628381370487696,2.1742559918322577,-3.592456209937483,-1.1647259246738972,2.8171622083010552,0.09208849901096607,0.0010982564313565756,1.039706598584429
82,-0.39244867968369984,-1.5627497189876434,2.1817159423487054,-3.617424805121896,-1.1597225410278962,2.8519419886504505,0.08956427881274337,0.00045863054627346246,1.0420536569560186
83,-0.39723463919203766,-1.5626613009265171,2.189175892865153,-3.642393400306309,-1.1547191573818947,2.8867217689998466,0.08694745040232002,-0.00011741899027823679,1.0443764660281132
84,-0.40202059870037543,-1.5625728828653906,2.1966358433816007,-3.6673619954907233,-1.1497157737358936,2.921501549349242,0.08423958648895293,-0.0006289251829370685,1.0466733486115196
85,-0.40680655820871325,-1.5624844648042644,2.204095793898048,-3.6923305906751365,-1.1447123900898923,2.956281329698638,0.08144230121848708,-0.0010749588200363153,1.0489426442838685
86,-0.4115925177170511,-1.5623960467431381,2.2115557444144955,-3.7172991858595497,-1.139709006443891,2.991061110048034,0.07855724921744608,-0.0014546291919611404,1.051182710192722
87,-0.41637847722538884,-1.562307628682012,2.219015694930943,-3.742267781043963,-1.1347056227978898,3.0258408903974296,0.07558612461316454,-0.0017670847849011097,1.0533919218507444
88,-0.4211644367337266,-1.5622192106208854,2.226475645447391,-3.767236376228376,-1.1297022391518885,3.060620670746825,0.07253066003060527,-0.0020115139494664347,1.0555686739225483
89,-0.4259503962420645,-1.5621307925597592,2.2339355959638385,-3.79220497141279,-1.1246988555058872,3.095400451096221,0.06939262556651901,-0.0021871455436526664,1.0577113810028362
90,-0.43073635575040226,-1.562042374498633,2.241395546480286,-3.8171735665972033,-1.119695471859886,3.1301802314456166,0.06617382774161948,-0.002293249549656254,1.0598184783854512
91,-0.4239131091430343,-1.546322389972118,2.221782169483897,-3.8132891168707546,-1.1272646536135165,3.130503622673865,0.07318493849565422,-0.0033456778556443523,1.0608961256710188
92,-0.4170898625356663,-1.5306024054456027,2.202168792487507,-3.8094046671443067,-1.134833835367147,3.130827013902113,0.08021616676425589,-0.00429979474063499,1.0618725693909046
93,-0.4102666159282984,-1.5148824209190876,2.1825554154911178,-3.8055202174178584,-1.1424030171207775,3.131150405130361,0.08726495028139912,-0.005154746218502567,1.0627478446300394
94,-0.4034433693209304,-1.4991624363925726,2.1629420384947284,-3.80163576769141,-1.149972198874408,3.131473796358609,0.0943287085038269,-0.005909730156567585,1.0635220123438829
95,-0.39662012271356245,-1.4834424518660574,2.1433286614983387,-3.7977513179649622,-1.1575413806280386,3.1317971875868573,0.10140484379962023,-0.006563996709340692,1.0641951593391283
96,-0.38979687610619446,-1.4677224673395424,2.1237152845019494,-3.793866868238514,-1.165110562381669,3.1321205788151056,0.10849074264625096,-0.007116848725956549,1.0647673982480037
97,-0.3829736294988265,-1.4520024828130274,2.10410190750556,-3.789982418512066,-1.1726797441352994,3.1324439700433535,0.11558377683752265,-0.007567642131088575,1.065238867496179
98,-0.3761503828914585,-1.436282498286512,2.0844885305091703,-3.7860979687856178,-1.18024892588893,3.132767361271602,0.12268130469879797,-0.007915786279146986,1.065609731264288
99,-0.3693271362840906,-1.420562513759997,2.064875153512781,-3.7822135190591695,-1.1878181076425605,3.1330907524998497,0.12978067230990759,-0.008160744281575514,1.065880179443065
100,-0.3625038896767226,-1.404842529233482,2.0452617765163916,-3.7783290693327216,-1.195387289396191,3.133414143728098,0.13687921473513562,-0.008302033307079636,1.0660504275821236
101,-0.35568064306935465,-1.3891225447069668,2.025648399520002,-3.7744446196062733,-1.2029564711498215,3.133737534956346,0.14397425725966653,-0.00833922485462827,1.0661207168323747
102,-0.34885739646198666,-1.3734025601804518,2.0060350225236125,-3.7705601698798255,-1.210525652903452,3.134060926184594,0.1510631166318764,-0.008271944999086435,1.066091313882108
103,-0.3420341498546187,-1.3576825756539368,1.9864216455272232,-3.766675720153377,-1.2180948346570826,3.1343843174128425,0.15814310231085627,-0.00809987460935242,1.0659625108867474
104,-0.3352109032472508,-1.3419625911274216,1.9668082685308335,-3.762791270426929,-1.225664016410713,3.1347077086410904,0.16521151771853937,-0.00782274953888279,1.065734625392303
105,-0.3283876566398828,-1.3262426066009065,1.9471948915344441,-3.758906820700481,-1.2332331981643436,3.1350310998693387,0.17226566149581163,-0.0074403607885056445,1.065408000252532
106,-0.32156441003251485,-1.3105226220743915,1.9275815145380548,-3.7550223709740327,-1.2408023799179742,3.1353544910975866,0.17930282876198153,-0.006952554641435987,1.064983003539835
107,-0.31474116342514685,-1.2948026375478763,1.907968137541665,-3.7511379212475844,-1.2483715616716047,3.135677882325835,0.18632031237697805,-0.006359232770419755,1.0644600284499057
108,-0.3079179168177789,-1.2790826530213613,1.8883547605452757,-3.7472534715211365,-1.255940743425235,3.1360012735540828,0.193315404205648,-0.005660352316948903,1.0638394932001618
109,-0.3010946702104109,-1.2633626684948462,1.8687413835488864,-3.7433690217946882,-1.2635099251788655,3.136324664782331,0.20028539638352755,-0.004855925942503487,1.0631218409219758
110,-0.2942714236030429,-1.247642683968331,1.8491280065524967,-3.73948457206824,-1.271079106932496,3.1366480560105794,0.20722758258344826,-0.003946021851789826,1.062307539546742
111,-0.28744817699567504,-1.231922699441816,1.8295146295561073,-3.735600122341792,-1.2786482886861266,3.1369714472388273,0.2141392592823539,-0.0029307637879599224,1.0613970816857965
112,-0.28062493038830705,-1.216202714915301,1.809901252559718,-3.7317156726153438,-1.286217470439757,3.1372948384670756,0.22101772702769165,-0.001810330999809756,1.0603909845042294
113,-0.27380168378093905,-1.2004827303887857,1.7902878755633282,-3.727831222888896,-1.2937866521933876,3.1376182296953234,0.22786029170274774,-0.0005849581809695024,1.059289789588615
114,-0.2669784371735711,-1.1847627458622707,1.770674498566939,-3.7239467731624476,-1.3013558339470181,3.1379416209235718,0.23466426579029528,0.000745064618887867,1.0580940628086972
